#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.3.0 (2015-12-10 13:42:25)
# Sub_Ave_RNaseE_Sample_0036_1252-Ave_RNaseE_Buffer_0035_744
# sub-data
# B                                                 LIST
#####################################################################################################
q(A-1)              I(q)Sub_1253_Ave_RNaseE_Sample_0036_1252          Sig(q)Sub_1253_Ave_RNaseE_Sample_0036_1252        
0.0256441687959     0.0318912356798                                   3.36666848035e-05                                 
0.0262140313584     0.0311157084504                                   3.31878955685e-05                                 
0.0267838934031     0.0303901517751                                   3.24937636356e-05                                 
0.0273537549186     0.0298893729137                                   3.20089428918e-05                                 
0.0279236158936     0.029177329884                                    3.14151843859e-05                                 
0.028493476317      0.0285802257042                                   3.085732177e-05                                   
0.0290633361774     0.0279444101069                                   3.05095198748e-05                                 
0.0296331954637     0.027354530523                                    2.99424889733e-05                                 
0.0302030541644     0.0267511143367                                   2.94770662336e-05                                 
0.0307729122685     0.0261335184584                                   2.90421657457e-05                                 
0.0313427697645     0.0255441094822                                   2.85671866616e-05                                 
0.0319126266414     0.0249656593296                                   2.81898029943e-05                                 
0.0324824828877     0.0243681147293                                   2.76673494241e-05                                 
0.0330523384923     0.023852777878                                    2.73408037147e-05                                 
0.033622193444      0.0233382848661                                   2.6947319874e-05                                  
0.0341920477313     0.022873568868                                    2.66078186135e-05                                 
0.0347619013431     0.0224077062303                                   2.62524718971e-05                                 
0.0353317542682     0.0218582554819                                   2.5815578231e-05                                  
0.0359016064952     0.0213066209238                                   2.55391972894e-05                                 
0.0364714580129     0.0208401564145                                   2.51687771376e-05                                 
0.0370413088101     0.0204141817363                                   2.48794626887e-05                                 
0.0376111588755     0.0199798092885                                   2.45502691239e-05                                 
0.0381810081978     0.0195562572994                                   2.4234123971e-05                                  
0.0387508567658     0.0191218360633                                   2.39961100546e-05                                 
0.0393207045682     0.0187031328568                                   2.36486705163e-05                                 
0.0398905515939     0.0183125461606                                   2.34170524607e-05                                 
0.0404603978314     0.0178546145798                                   2.31211848167e-05                                 
0.0410302432696     0.0175257242186                                   2.28694280772e-05                                 
0.0416000878971     0.0171862952328                                   2.26469627372e-05                                 
0.0421699317029     0.0167957123352                                   2.23482008248e-05                                 
0.0427397746755     0.0165013764643                                   2.21799836405e-05                                 
0.0433096168037     0.0161398746013                                   2.18870434142e-05                                 
0.0438794580764     0.0157864423938                                   2.166644556e-05                                   
0.0444492984821     0.0155072542891                                   2.14797352468e-05                                 
0.0450191380097     0.0151642398968                                   2.12024847108e-05                                 
0.045588976648      0.0148378474591                                   2.1025905414e-05                                  
0.0461588143856     0.0145658985111                                   2.08087002032e-05                                 
0.0467286512113     0.0142680110069                                   2.06378918654e-05                                 
0.0472984871138     0.0139775961654                                   2.0401371147e-05                                  
0.047868322082      0.0136736188795                                   2.01935305833e-05                                 
0.0484381561044     0.0134843673708                                   2.00944772174e-05                                 
0.04900798917       0.0131990590929                                   1.98435264472e-05                                 
0.0495778212674     0.0129561425067                                   1.97056559136e-05                                 
0.0501476523853     0.0127457924304                                   1.95128979817e-05                                 
0.0507174825126     0.0124562583661                                   1.93484841351e-05                                 
0.0512873116379     0.0121973305915                                   1.91880248691e-05                                 
0.05185713975       0.011984135651                                    1.89903234401e-05                                 
0.0524269668377     0.0117718747329                                   1.88817299535e-05                                 
0.0529967928897     0.0115532023322                                   1.86887344461e-05                                 
0.0535666178948     0.0113638019069                                   1.85648423786e-05                                 
0.0541364418416     0.0111801370187                                   1.84119323092e-05                                 
0.054706264719      0.010931972891                                    1.82324932857e-05                                 
0.0552760865157     0.0107286815224                                   1.81452655339e-05                                 
0.0558459072204     0.0105643867853                                   1.7984691622e-05                                  
0.0564157268218     0.0103745503189                                   1.78585288887e-05                                 
0.0569855453088     0.0101941953022                                   1.77026396102e-05                                 
0.0575553626701     0.0100248719202                                   1.75828756121e-05                                 
0.0581251788944     0.00983698945928                                  1.74814836569e-05                                 
0.0586949939705     0.00967841723063                                  1.73192380818e-05                                 
0.0592648078871     0.00952618985668                                  1.72180691774e-05                                 
0.0598346206329     0.00938177336068                                  1.70941146202e-05                                 
0.0604044321967     0.00922273419408                                  1.6990477993e-05                                  
0.0609742425673     0.00907155465005                                  1.68746827379e-05                                 
0.0615440517334     0.00891132407052                                  1.67435782496e-05                                 
0.0621138596838     0.00876280681486                                  1.66577780489e-05                                 
0.0626836664072     0.00862299613268                                  1.6516984597e-05                                  
0.0632534718923     0.00846921459342                                  1.64230106056e-05                                 
