 27-May-2011       (david_102.dat - 1.0*Aver(david_101.dat,david_103.dat) /  5
david_102.da  Conc = .56E+01  N1 =    1  N2 = 2178
david_101.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
david_103.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
  6.305290E-02  0.141408E+02  0.145721E+00
  6.332640E-02  0.142923E+02  0.148119E+00
  6.359990E-02  0.140197E+02  0.146329E+00
  6.387340E-02  0.137396E+02  0.146153E+00
  6.414690E-02  0.136829E+02  0.142402E+00
  6.442040E-02  0.131872E+02  0.139124E+00
  6.469390E-02  0.133693E+02  0.141399E+00
  6.496740E-02  0.136270E+02  0.144810E+00
  6.524090E-02  0.128123E+02  0.136762E+00
  6.551440E-02  0.132548E+02  0.141540E+00
  6.578800E-02  0.130675E+02  0.140619E+00
  6.606150E-02  0.129521E+02  0.139680E+00
  6.633500E-02  0.126775E+02  0.138473E+00
  6.660850E-02  0.125973E+02  0.137085E+00
  6.688200E-02  0.123254E+02  0.136721E+00
  6.715550E-02  0.125390E+02  0.139055E+00
  6.742900E-02  0.124142E+02  0.136514E+00
  6.770250E-02  0.121280E+02  0.134950E+00
  6.797600E-02  0.123895E+02  0.135172E+00
  6.824950E-02  0.123191E+02  0.136793E+00
  6.852300E-02  0.119204E+02  0.133815E+00
  6.879660E-02  0.121814E+02  0.136567E+00
  6.907010E-02  0.117751E+02  0.133519E+00
  6.934360E-02  0.115315E+02  0.131233E+00
  6.961710E-02  0.117356E+02  0.134285E+00
  6.989060E-02  0.117508E+02  0.133756E+00
  7.016410E-02  0.113191E+02  0.130651E+00
  7.043760E-02  0.116719E+02  0.134807E+00
  7.071110E-02  0.109742E+02  0.128449E+00
  7.098460E-02  0.111021E+02  0.129595E+00
  7.125810E-02  0.111639E+02  0.129658E+00
  7.153160E-02  0.109911E+02  0.127997E+00
  7.180510E-02  0.101769E+02  0.121562E+00
  7.207870E-02  0.109160E+02  0.129028E+00
  7.235220E-02  0.106608E+02  0.126731E+00
  7.262570E-02  0.103833E+02  0.125278E+00
  7.289920E-02  0.102721E+02  0.123268E+00
  7.317270E-02  0.999910E+01  0.123839E+00
  7.344620E-02  0.101259E+02  0.124206E+00
  7.371970E-02  0.102227E+02  0.125025E+00
  7.399320E-02  0.976817E+01  0.121497E+00
  7.426670E-02  0.101012E+02  0.124722E+00
  7.454020E-02  0.994128E+01  0.122515E+00
  7.481370E-02  0.999003E+01  0.122718E+00
  7.508720E-02  0.985662E+01  0.122683E+00
  7.536080E-02  0.952975E+01  0.120845E+00
  7.563430E-02  0.973364E+01  0.121728E+00
  7.590780E-02  0.992837E+01  0.124056E+00
  7.618130E-02  0.970282E+01  0.123835E+00
  7.645480E-02  0.936970E+01  0.119075E+00
  7.672830E-02  0.930606E+01  0.119529E+00
  7.700180E-02  0.920166E+01  0.118893E+00
  7.727530E-02  0.910624E+01  0.118096E+00
  7.754880E-02  0.899305E+01  0.117002E+00
  7.782230E-02  0.899848E+01  0.117013E+00
  7.809580E-02  0.906384E+01  0.118483E+00
  7.836940E-02  0.868608E+01  0.115908E+00
  7.864290E-02  0.858280E+01  0.113653E+00
  7.891640E-02  0.838242E+01  0.114627E+00
  7.918990E-02  0.872499E+01  0.114655E+00
  7.946340E-02  0.872555E+01  0.117760E+00
  7.973690E-02  0.842150E+01  0.113183E+00
  8.001040E-02  0.812308E+01  0.112296E+00
  8.028390E-02  0.849857E+01  0.114120E+00
  8.055740E-02  0.830734E+01  0.113426E+00
  8.083090E-02  0.810694E+01  0.114115E+00
  8.110440E-02  0.817830E+01  0.116152E+00
  8.137790E-02  0.784139E+01  0.113262E+00
  8.165150E-02  0.800872E+01  0.113542E+00
  8.192500E-02  0.790331E+01  0.114905E+00
  8.219850E-02  0.790074E+01  0.116468E+00
  8.247200E-02  0.792182E+01  0.116204E+00
  8.274550E-02  0.759327E+01  0.111327E+00
  8.301900E-02  0.766555E+01  0.113004E+00
  8.329250E-02  0.737069E+01  0.111713E+00
  8.356600E-02  0.749760E+01  0.112073E+00
  8.383950E-02  0.719986E+01  0.110866E+00
  8.411300E-02  0.707020E+01  0.111641E+00
  8.438650E-02  0.712450E+01  0.110588E+00
  8.466010E-02  0.710044E+01  0.112034E+00
  8.493360E-02  0.735067E+01  0.115882E+00
  8.520710E-02  0.715954E+01  0.111052E+00
  8.548060E-02  0.724720E+01  0.115926E+00
  8.575410E-02  0.698308E+01  0.111333E+00
  8.602760E-02  0.714334E+01  0.113836E+00
  8.630110E-02  0.677610E+01  0.110603E+00
  8.657460E-02  0.681960E+01  0.109852E+00
  8.684810E-02  0.659054E+01  0.111861E+00
  8.712160E-02  0.657926E+01  0.109282E+00
  8.739510E-02  0.661125E+01  0.109317E+00
  8.766860E-02  0.657244E+01  0.111399E+00
  8.794220E-02  0.649420E+01  0.108734E+00
  8.821570E-02  0.629382E+01  0.108087E+00
  8.848920E-02  0.628429E+01  0.106651E+00
  8.876270E-02  0.626505E+01  0.109614E+00
  8.903620E-02  0.623765E+01  0.109730E+00
  8.930970E-02  0.610281E+01  0.107581E+00
  8.958320E-02  0.597857E+01  0.106421E+00
  8.985670E-02  0.617536E+01  0.110368E+00
  9.013020E-02  0.614961E+01  0.111257E+00
  9.040370E-02  0.613197E+01  0.109972E+00
  9.067720E-02  0.583552E+01  0.107574E+00
  9.095070E-02  0.590993E+01  0.109079E+00
  9.122430E-02  0.567630E+01  0.107170E+00
  9.149780E-02  0.569328E+01  0.107420E+00
  9.177130E-02  0.562691E+01  0.107734E+00
  9.204480E-02  0.560986E+01  0.107436E+00
  9.231830E-02  0.542396E+01  0.106065E+00
  9.259180E-02  0.573094E+01  0.108716E+00
  9.286530E-02  0.551073E+01  0.106938E+00
