      14       22       19       19       21       21       32       36
      30        7        1        1        0        0        0        0
       0        0        0        3        0        2        9       36
      29       28       24       22       17       23       21       20
      27       18       27       26       32       27       31       36
      28       28       31       24       29       26       19       33
      27       24       22       12       24       34       44       44
      38       37       27       40       29       34       27       20
      31       25       32       30       28       33       36       36
      31       39       36       46       38       27       31       17
      17       31       34       28       35       34       27       33
      28       26       20       22       28       37       27       28
      25       29       23       22       25       25       31       27
      23       24       42       34       24       24       28       26
      18       19       29       16       21       24       23       22
      27       31       31       27       24       26       22       26
       9       23       17       22       29       19       29       27
      20        9        0        1        3        1        0        0
       0        0        3        1        1        5       20       30
      33       28       18       22       14       20       19       17
      17       27       22       27       20       24       24       18
      28       32       31       27       25       32       35       26
      24       19       21       21       20       30       51       24
      24       28       14       29       31       26       22       30
      27       26       25       38       25       36       37       24
      39       31       27       28       28       16       15       10
      14       23       31       23       25       22       19       18
      31       23       24       30       22       25       20       27
      16       24       20       28       29       31       28       28
      30       23       32       36       21       30       32       21
      13       16       26       20       25       24       22       25
      27       26       19       19       26       28       22       13
      17       19       22       20       23       13       37       28
      26       14        6        2        1        0        0        0
       0        0        0        1        0        3       13       35
      25       29       24       24       18       11       15       18
      23       23       19       35       31       25       30       25
      35       34       24       18       25       22       25       21
      21       19       17       15       22       24       34       24
      34       34       28       24       33       20       22       23
      29       24       27       23       32       39       23       14
      39       32       32       20       30       24       26       15
      20       24       23       30       28       25       27       26
      31       18       25       24       25       27       19       23
      24       18       20       29       21       27       30       20
      27       25       21       23       18       24       26       21
      18       25       25       16       17       20       22       29
      26       29       18       11       20       23       22       19
      13       18       15       16       15       23       34       22
      26       14        7        2        1        1        0        0
       0        0        0        1        4        6       22       28
      27       28       32       24       22       17       18       13
      10       18       33       27       19       26       28       15
      19       18       32       26       26       29       26       23
      20       27       21       19       29       34       33       34
      29       34       30       25       29       19       28       25
      27       16       28       32       25       14       15       27
      31       32       29       21       27       23       22       15
      16       16       31       29       23       37       38       25
      21       24       14       23       19       25       23       25
      17       24       14       23       18       35       26       23
      23       20       25       17       18       18       27       21
      15       23       14       19       28       24       25       15
      27       25       18       34       19       15       33       16
      25       14       15       12       13       22       19       28
      12       11        2        2        0        1        0        0
       0        0        2        1        2        6       15       34
      37       27       30       25       22       20       14       19
      28       27       23       32       25       25       28       34
      26       32       27       33       18       18       11       21
      44       33       15       14       27       31       29       32
      36       28       26       27       37       29       24       34
      38       21       34       37       30       34       27       32
      24       36       43       31       30       24       22       14
      15       25       30       28       33       32       29       31
      29       26       28       31       26       29       19       16
      22       20       21       19       28       17       25       21
      29       24       26       31       28       19       23       16
      23       24       20       15       17       23       28       23
      18       12       25       21       22       17       25       15
      17       13       18       18       27       23       24       32
      32       10        2        1        1        1        0        0
       0        1        1        3        1        1       32       30
      39       30       34       29       22       19       17       19
      27       27       35       25       28       29       31       27
      25       28       32       29       34       35       34       23
      26       30       24       19       26       40       40       33
      30       35       33       38       29       31       21       34
      30       30       26       43       40       34       33       27
      30       34       37       41       25       33       25       17
      17       34       32       30       30       29       36       20
      29       31       27       25       27       24       25       29
      22       30       16       29       25       33       30       33
      28       24       34       29       26       20       29       32
      26       22       20       30       29       30       22       28
      25       24       27       26       21       32       32       19
      26       18       25       25       25       26       30       36
      20        7        5        1        2        0        0        0
       0        0        0        1        0        7       13       42
      42       35       25       28       19       19       15       21
      18       23       24       29       19       28       27       22
      16       22       24       29       25       29       29       27
      27       26       23       19       17       28       25       31
      30       28       31       33       26       34       22       22
      31       30       25       30       27       30       29       26
      23       33       28       39       31       33       25       16
      20       24       32       33       33       19       27       32
      24       28       22       28       26       25       25       28
      29       20       33       19       25       23       27       34
      28       35       30       22       24       29       36       27
      18       25       25       29       26       29       27       30
      30       40       27       23       21       22       26       17
      14       19       17       14       27       19       28       29
      16        9        2        1        2        1        0        0
       0        0        2        4        1        5       10       29
      36       32       27       20       27       16       20       22
      17       21       29       18       31       32       32       20
      19       28       26       23       35       28       32       35
      34       34       25       27       19       27       36       30
      28       38       29       46       28       39       29       34
      20       34       34       28       34       39       30       30
      33       41       37       39       39       31       29       15
      23       16       32       36       38       28       18       26
      38       28       32       24       24       35       21       27
      24       26       20       25       22       23       23       22
      34       20       25       25       31       24       25       34
      15       24       21       21       24       29       18       20
      29       25       26       32       19       32       20       26
      18       22       21       21       22       17       25       32
      32        9        0        0        1        0        0        0
       0        0        3        5        3        2       18       40
      45       34       38       40       25       28       22       35
      31       33       39       32       26       24       30       22
      25       30       32       23       34       26       28       30
      57       40       32       14       20       38       44       40
      21       31       60       40       42       44       50       34
      32       41       34       23       39       38       38       43
      37       35       48       51       42       46       35       24
      29       30       33       45       35       34       42       33
      29       34       39       41       31       37       30       36
      28       31       32       26       23       27       26       34
      32       30       30       23       29       29       24       30
      40       33       19       23       37       27       38       31
      27       33       33       25       35       35       26       25
      25       25       21       22       28       25       43       34
      30       12        4        0        1        2        0        0
       0        0        3        2        1        5       13       32
      34       32       36       25       33       26       35       34
      27       26       29       36       31       17       25       30
      32       24       30       38       30       31       32       22
      37       37       27       21       16       29       47       30
      47       31       43       39       38       35       30       35
      30       31       29       41       36       38       31       40
      42       35       45       39       35       35       31       27
      31       33       31       34       41       38       36       36
      30       37       25       32       34       29       27       33
      33       26       33       26       27       27       35       26
      30       34       25       30       31       22       38       33
      31       30       36       31       26       36       27       33
      34       23       27       34       35       30       22       34
      14       31       24       28       26       33       30       39
      30       10        2        2        3        3        0        0
       0        1        0        2        2        5       11       39
      41       33       34       26       24       22       30       28
      27       28       27       39       32       27       38       22
      32       36       31       27       28       42       26       23
      34       34       25       23       27       31       36       44
      33       48       30       34       46       38       36       34
      33       30       36       36       36       45       37       44
      31       37       24       36       40       36       27       27
      24       33       34       36       36       18       36       36
      36       28       31       28       26       32       24       21
      23       21       21       28       29       26       27       29
      27       30       30       23       25       33       30       30
      35       22       34       31       37       40       26       25
      41       37       41       38       28       33       22       28
      26       17       32       22       30       28       29       31
      27        6        2        2        1        1        0        0
       0        0        2        5        2        3       14       31
      40       38       33       32       26       26       24       28
      30       25       32       27       42       28       25       38
      23       24       32       31       24       35       34       35
      34       36       33       13       23       34       27       41
      35       29       43       55       41       40       38       37
      29       23       32       41       35       34       40       50
      42       37       31       42       38       38       40       25
      25       24       27       38       34       26       32       33
      46       33       27       28       30       26       25       36
      23       24       23       28       31       29       29       37
      25       19       26       30       26       27       27       25
      23       21       31       23       35       37       30       30
      27       26       37       31       37       29       29       20
      19       17       25       36       21       33       40       28
      19        7        2        1        1        2        0        0
       0        1       11        5        3        3       10       32
      45       29       24       29       26       32       19       21
      32       33       20       31       30       26       31       30
      34       29       24       33       35       35       17       33
      33       25       29       12       19       37       31       40
      42       43       46       29       43       33       45       38
      31       25       27       36       43       38       50       34
      47       35       33       30       37       34       40       30
      23       34       45       31       43       40       44       33
      33       34       41       32       38       30       36       28
      34       23       25       23       26       32       27       22
      30       18       26       34       20       23       38       27
      23       15       31       20       33       29       38       41
      29       36       21       37       31       26       27       23
      23       26       29       27       25       34       32       38
      16        4        6        2        6        3        0        0
       0        0        3        2        2        4       13       36
      41       36       22       25       31       33       19       27
      25       34       25       26       28       28       35       32
      23       34       23       29       19       37       25       19
      31       25       29       24       28       30       43       45
      34       49       31       35       37       32       45       37
      31       34       43       33       32       36       31       45
      49       43       33       37       42       35       37       24
      24       28       41       36       39       40       32       32
      28       32       27       30       34       38       33       23
      34       41       38       39       22       26       33       33
      33       39       25       28       38       38       39       25
      28       22       35       22       31       25       37       31
      22       28       33       35       23       29       28       21
      14       19       13       27       26       25       46       42
      21       10        2        3        0        2        0        0
       0        0        0        2        2        1       13       19
      29       28       29       29       21       23       21       20
      30       19       32       28       28       32       35       28
      30       22       26       28       31       35       29       34
      27       26       20       16       18       35       43       30
      38       34       44       36       40       22       31       31
      38       35       26       32       33       38       37       19
      41       34       43       36       34       41       28       33
      34       24       41       31       37       43       35       22
      39       32       28       39       35       28       30       30
      34       24       24       29       24       21       41       26
      30       27       32       23       34       28       26       28
      28       32       23       37       24       21       24       34
      26       26       28       20       35       29       32       23
      21       27       22       32       16       23       37       38
      23        7        3        1        1        0        0        0
       0        0        0        3        1        6       10       27
      40       33       31       17       29       19       24       21
      24       30       29       34       24       29       38       22
      23       31       24       23       29       30       34       34
      29       41       22       20       17       29       34       36
      34       48       45       41       38       40       37       38
      30       36       46       36       40       29       38       46
      31       41       43       30       40       45       40       32
      32       24       36       25       41       30       33       34
      35       32       32       36       31       45       36       26
      36       29       35       29       26       38       24       33
      33       34       27       34       23       24       32       30
      25       41       25       27       30       42       33       30
      31       35       24       43       30       46       26       30
      25       16       23       23       26       27       49       36
      17       14        2        0        1        1        0        0
       0        0        0        1        1        1       14       29
      37       27       26       23       28       24       20       19
      23       25       28       28       22       35       23       22
      33       33       27       29       34       29       34       21
      34       32       34       18       26       23       40       47
      32       34       38       43       45       43       40       33
      30       38       33       31       37       42       43       45
      39       39       42       31       43       51       45       35
      30       40       25       30       42       31       24       28
      41       36       31       31       38       44       32       31
      42       38       40       38       29       38       34       27
      37       41       26       42       29       32       28       25
      21       25       22       39       34       23       20       32
      26       37       27       32       33       25       30       20
      14       24       25       14       30       29       27       36
      30        9        2        2        1        0        0        0
       0        0        0        0        0        5       20       28
      40       36       32       25       25       22       25       41
      26       33       22       30       24       41       23       24
      29       24       25       25       40       30       22       42
      39       23       38       22       23       31       40       41
      49       31       47       35       35       38       34       35
      28       37       34       39       34       28       27       50
      35       41       35       32       30       37       37       31
      34       36       36       38       43       39       29       27
      32       38       33       25       32       27       28       30
      38       41       38       37       26       38       34       34
      26       24       31       36       18       34       31       30
      33       34       23       26       39       33       29       28
      25       24       32       26       31       24       35       27
      30       26       19       18       26       32       34       36
      34       11        2        1        1        2        0        0
       0        0        1        0        1        3       25       37
      37       24       27       28       23       24       28       28
      21       21       16       27       28       30       26       33
      24       27       23       25       36       25       38       33
      50       34       38       19       23       42       41       33
      42       32       33       33       50       32       36       36
