Sample description: b1c
Sample: b1c  c= 1.0000 mg/ml  Code: b1c
Parent(s): b1c_avg481-496.dat b1c_avg400-430.dat
  7.097870e-02   5.922800e+01   3.162870e-01
  7.128340e-02   5.864030e+01   3.118886e-01
  7.158800e-02   5.828120e+01   3.136345e-01
  7.189260e-02   5.824380e+01   3.129376e-01
  7.219730e-02   5.761280e+01   3.119787e-01
  7.250190e-02   5.708510e+01   3.125067e-01
  7.280650e-02   5.676450e+01   3.084130e-01
  7.311110e-02   5.661030e+01   3.084316e-01
  7.341580e-02   5.634190e+01   3.114188e-01
  7.372040e-02   5.559750e+01   3.071265e-01
  7.402500e-02   5.543480e+01   3.083469e-01
  7.432970e-02   5.505800e+01   3.046906e-01
  7.463430e-02   5.465700e+01   3.065741e-01
  7.493890e-02   5.434880e+01   3.052707e-01
  7.524350e-02   5.411250e+01   3.035880e-01
  7.554820e-02   5.411200e+01   3.057348e-01
  7.585280e-02   5.363530e+01   3.034081e-01
  7.615740e-02   5.252260e+01   3.021146e-01
  7.646210e-02   5.279446e+01   3.002543e-01
  7.676670e-02   5.214028e+01   3.016340e-01
  7.707130e-02   5.227130e+01   3.000199e-01
  7.737600e-02   5.153677e+01   3.009524e-01
  7.768060e-02   5.119002e+01   2.994105e-01
  7.798520e-02   5.042288e+01   2.959468e-01
  7.828980e-02   5.062266e+01   2.992196e-01
  7.859450e-02   4.891270e+01   2.978381e-01
  7.889910e-02   4.965188e+01   2.969413e-01
  7.920370e-02   4.956544e+01   2.961246e-01
  7.950840e-02   4.935753e+01   2.937854e-01
  7.981300e-02   4.901540e+01   2.968633e-01
  8.011760e-02   4.829496e+01   2.919914e-01
  8.042220e-02   4.798804e+01   2.930216e-01
  8.072690e-02   4.774082e+01   2.909768e-01
  8.103150e-02   4.734707e+01   2.923931e-01
  8.133610e-02   4.681955e+01   2.930503e-01
  8.164080e-02   4.671607e+01   2.874495e-01
  8.194540e-02   4.697873e+01   2.909351e-01
  8.225000e-02   4.633449e+01   2.892584e-01
  8.255470e-02   4.513897e+01   2.890764e-01
  8.285930e-02   4.555379e+01   2.998968e-01
  8.316390e-02   4.545000e+01   3.009455e-01
  8.346850e-02   4.443197e+01   3.085574e-01
  8.377320e-02   4.515858e+01   3.106448e-01
  8.407780e-02   4.413588e+01   3.112799e-01
  8.438240e-02   4.408723e+01   3.151345e-01
  8.468710e-02   4.358883e+01   3.145725e-01
  8.499170e-02   4.299397e+01   3.211089e-01
  8.529630e-02   4.314008e+01   3.189291e-01
  8.560100e-02   4.201066e+01   3.217719e-01
  8.590560e-02   4.198283e+01   3.236761e-01
  8.621020e-02   4.209714e+01   3.208528e-01
  8.651480e-02   4.209216e+01   3.262143e-01
  8.681950e-02   4.146198e+01   3.225071e-01
  8.712410e-02   4.112197e+01   3.255517e-01
  8.742870e-02   4.073217e+01   3.247707e-01
  8.773340e-02   3.946907e+01   3.249193e-01
  8.803800e-02   3.999260e+01   3.118594e-01
  8.834260e-02   3.947817e+01   3.016156e-01
