sum_G03_4.tif
             q                I              Err   
      0.036120107      0.097549621    0.00054364824
      0.036707407      0.095824977    0.00054448064
      0.037294706      0.095067885    0.00055038689
      0.037882004      0.092828233    0.00054608370
      0.038469301      0.091224488    0.00053842586
      0.039056597      0.089532168    0.00054429994
      0.039643892      0.087723602    0.00054256369
      0.040231186      0.086410912    0.00052925297
      0.040818480      0.084752230    0.00052256811
      0.041405772      0.082897883    0.00052888434
      0.041993063      0.081653240    0.00052934266
      0.042580353      0.080419904    0.00050656320
      0.043167642      0.078511330    0.00048767033
      0.043754930      0.076971402    0.00047434108
      0.044342217      0.075611651    0.00046587949
      0.044929502      0.073803016    0.00047124840
      0.045516787      0.072352795    0.00048362839
      0.046104070      0.070639688    0.00044827035
      0.046691353      0.069409232    0.00045134365
      0.047278634      0.067514408    0.00042387207
      0.047865914      0.066423370    0.00043291515
      0.048453192      0.064840280    0.00042987483
      0.049040470      0.063260335    0.00042059464
      0.049627746      0.061746484    0.00041177450
      0.050215021      0.060304526    0.00041401179
      0.050802295      0.058830024    0.00039838394
      0.051389568      0.057474337    0.00038272577
      0.051976839      0.056098893    0.00038591809
      0.052564109      0.054352595    0.00040104631
      0.053151378      0.053150721    0.00038092419
      0.053738645      0.051969660    0.00037104528
      0.054325911      0.050510433    0.00036391055
      0.054913176      0.048996055    0.00036302529
      0.055500439      0.047841278    0.00035956471
      0.056087701      0.046562357    0.00036549378
      0.056674961      0.045300298    0.00037411572
      0.057262220      0.043990552    0.00035330945
      0.057849478      0.042763109    0.00035645768
      0.058436734      0.041621779    0.00033234325
      0.059023989      0.040376806    0.00035485399
      0.059611242      0.039313969    0.00032751989
      0.060198494      0.038046593    0.00032470458
      0.060785744      0.036842212    0.00032491199
      0.061372993      0.035751653    0.00031984034
      0.061960240      0.034657802    0.00031735736
      0.062547486      0.033579923    0.00031707140
      0.063134730      0.032380111    0.00031210292
      0.063721972      0.031508187    0.00030578933
      0.064309213      0.030320077    0.00029962024
      0.064896452      0.029340841    0.00030275556
      0.065483690      0.028584025    0.00030338505
      0.066070926      0.027337090    0.00030765960
