Sample description: HEADER
Sample: HEADER  c= 0 mg/ml  Code: 
Parent(s): E:/Data/SAXS/SAXS_pin1/buffer019-021/avrg_002.dat E:/Data/SAXS/SAXS_pin1/buffer019-021/avrg_001.dat
 9.370705e-002  4.441813e+001  1.650829e-001
 9.416408e-002  4.397894e+001  1.642290e-001
 9.462110e-002  4.372588e+001  1.600369e-001
 9.507813e-002  4.352817e+001  1.554976e-001
 9.553515e-002  4.331498e+001  1.590006e-001
 9.599217e-002  4.263426e+001  1.589349e-001
 9.644919e-002  4.258067e+001  1.570263e-001
 9.690621e-002  4.207019e+001  1.583265e-001
 9.736322e-002  4.161745e+001  1.564393e-001
 9.782024e-002  4.113775e+001  1.588378e-001
 9.827725e-002  4.096271e+001  1.593221e-001
 9.873427e-002  4.094233e+001  1.570658e-001
 9.919128e-002  4.026418e+001  1.567047e-001
 9.964829e-002  4.001570e+001  1.562179e-001
 1.001053e-001  3.956099e+001  1.555650e-001
 1.005623e-001  3.944739e+001  1.563456e-001
 1.010193e-001  3.890108e+001  1.555723e-001
 1.014763e-001  3.869711e+001  1.534512e-001
 1.019333e-001  3.818589e+001  1.546141e-001
 1.023903e-001  3.799294e+001  1.516066e-001
 1.028473e-001  3.790762e+001  1.530896e-001
 1.033043e-001  3.740142e+001  1.508789e-001
 1.037613e-001  3.712455e+001  1.546099e-001
 1.042183e-001  3.666536e+001  1.514388e-001
 1.046753e-001  3.616202e+001  1.473572e-001
 1.051323e-001  3.601854e+001  1.538290e-001
 1.055893e-001  3.577346e+001  1.533455e-001
 1.060463e-001  3.560467e+001  1.525894e-001
 1.065033e-001  3.508003e+001  1.498864e-001
 1.069603e-001  3.479629e+001  1.495083e-001
 1.074173e-001  3.490839e+001  1.509448e-001
 1.078743e-001  3.439890e+001  1.490445e-001
 1.083313e-001  3.411514e+001  1.478658e-001
 1.087882e-001  3.365359e+001  1.516072e-001
 1.092452e-001  3.355379e+001  1.488716e-001
 1.097022e-001  3.348586e+001  1.498891e-001
 1.101592e-001  3.287462e+001  1.450181e-001
 1.106162e-001  3.259620e+001  1.472402e-001
 1.110731e-001  3.258109e+001  1.482986e-001
 1.115301e-001  3.205717e+001  1.451154e-001
 1.119871e-001  3.185021e+001  1.471528e-001
 1.124441e-001  3.161971e+001  1.418271e-001
 1.129010e-001  3.126857e+001  1.469698e-001
 1.133580e-001  3.092872e+001  1.470318e-001
 1.138150e-001  3.069940e+001  1.458563e-001
 1.142719e-001  3.068670e+001  1.429360e-001
 1.147289e-001  3.077249e+001  1.451322e-001
 1.151859e-001  2.979001e+001  1.451741e-001
 1.156428e-001  2.982035e+001  1.441759e-001
 1.160998e-001  2.960628e+001  1.424124e-001
 1.165568e-001  2.952424e+001  1.411650e-001
 1.170137e-001  2.905441e+001  1.426259e-001
 1.174707e-001  2.886826e+001  1.432529e-001
 1.179276e-001  2.841348e+001  1.407781e-001
 1.183846e-001  2.822442e+001  1.420218e-001
 1.188415e-001  2.802446e+001  1.419374e-001
 1.192985e-001  2.785227e+001  1.408014e-001
 1.197554e-001  2.756179e+001  1.404581e-001
 1.202124e-001  2.744536e+001  1.444556e-001
 1.206693e-001  2.726978e+001  1.473890e-001
 1.211263e-001  2.664087e+001  1.450264e-001
 1.215832e-001  2.662212e+001  1.456847e-001
 1.220402e-001  2.660932e+001  1.470584e-001
 1.224971e-001  2.610746e+001  1.454966e-001
 1.229540e-001  2.580285e+001  1.467001e-001
 1.234110e-001  2.592631e+001  1.449362e-001
 1.238679e-001  2.550452e+001  1.436676e-001
 1.243248e-001  2.550889e+001  1.457405e-001
 1.247818e-001  2.528503e+001  1.478387e-001
 1.252387e-001  2.500709e+001  1.507136e-001
 1.256956e-001  2.473060e+001  1.458585e-001
 1.261526e-001  2.468560e+001  1.512011e-001
 1.266095e-001  2.455968e+001  1.488622e-001
 1.270664e-001  2.428089e+001  1.509262e-001
 1.275233e-001  2.394119e+001  1.495626e-001
 1.279803e-001  2.359166e+001  1.481315e-001
 1.284372e-001  2.305744e+001  1.453127e-001
 1.288941e-001  2.346973e+001  1.427771e-001
 1.293510e-001  2.322065e+001  1.451815e-001
 1.298079e-001  2.268593e+001  1.423193e-001
 1.302648e-001  2.275211e+001  1.406858e-001
 1.307218e-001  2.271662e+001  1.398995e-001
 1.311787e-001  2.238071e+001  1.373616e-001
 1.316356e-001  2.202403e+001  1.380818e-001
 1.320925e-001  2.199444e+001  1.379405e-001
 1.325494e-001  2.163699e+001  1.357706e-001
 1.330063e-001  2.160835e+001  1.418992e-001
 1.334632e-001  2.137878e+001  1.361415e-001
 1.339201e-001  2.110899e+001  1.376443e-001
 1.343770e-001  2.107847e+001  1.440086e-001
 1.348339e-001  2.082843e+001  1.433542e-001
 1.352908e-001  2.064307e+001  1.345856e-001
 1.357477e-001  2.053711e+001  1.346750e-001
 1.362046e-001  2.035858e+001  1.375072e-001
 1.366615e-001  2.004523e+001  1.351973e-001
 1.371183e-001  1.972172e+001  1.347470e-001
 1.375752e-001  1.986010e+001  1.347132e-001
 1.380321e-001  1.946274e+001  1.319059e-001
 1.384890e-001  1.958807e+001  1.351636e-001
 1.389459e-001  1.928557e+001  1.352810e-001
 1.394028e-001  1.897753e+001  1.326191e-001
 1.398596e-001  1.894072e+001  1.344589e-001
 1.403165e-001  1.885743e+001  1.307547e-001
 1.407734e-001  1.881019e+001  1.336676e-001
 1.412303e-001  1.842139e+001  1.275407e-001
 1.416871e-001  1.823456e+001  1.321248e-001
 1.421440e-001  1.819762e+001  1.310740e-001
 1.426009e-001  1.763805e+001  1.313223e-001
 1.430577e-001  1.788234e+001  1.306044e-001
 1.435146e-001  1.741155e+001  1.297980e-001
 1.439714e-001  1.735905e+001  1.300950e-001
 1.444283e-001  1.716164e+001  1.313673e-001
 1.448852e-001  1.691929e+001  1.286651e-001
 1.453420e-001  1.701302e+001  1.283920e-001
 1.457989e-001  1.662614e+001  1.314471e-001
 1.462557e-001  1.664707e+001  1.296366e-001
 1.467126e-001  1.651141e+001  1.297918e-001
 1.471694e-001  1.642805e+001  1.288411e-001
 1.476263e-001  1.611460e+001  1.292327e-001
 1.480831e-001  1.624916e+001  1.290682e-001
 1.485400e-001  1.601883e+001  1.287660e-001
 1.489968e-001  1.575395e+001  1.262680e-001
 1.494536e-001  1.562827e+001  1.269799e-001
 1.499105e-001  1.528298e+001  1.268678e-001
 1.503673e-001  1.524977e+001  1.264103e-001
 1.508241e-001  1.487312e+001  1.236638e-001
 1.512810e-001  1.498737e+001  1.262055e-001
 1.517378e-001  1.484317e+001  1.248738e-001
 1.521946e-001  1.467272e+001  1.228342e-001
 1.526515e-001  1.480489e+001  1.262430e-001
 1.531083e-001  1.459071e+001  1.262330e-001
 1.535651e-001  1.418950e+001  1.241684e-001
 1.540219e-001  1.403918e+001  1.258286e-001
 1.544787e-001  1.405035e+001  1.210382e-001
 1.549356e-001  1.402361e+001  1.245945e-001
 1.553924e-001  1.370976e+001  1.229729e-001
 1.558492e-001  1.366089e+001  1.246568e-001
 1.563060e-001  1.333422e+001  1.250310e-001
 1.567628e-001  1.354041e+001  1.204117e-001
 1.572196e-001  1.338426e+001  1.240904e-001
 1.576764e-001  1.308902e+001  1.211864e-001
 1.581332e-001  1.291390e+001  1.212146e-001
 1.585900e-001  1.309436e+001  1.197276e-001
 1.590468e-001  1.274130e+001  1.211629e-001
 1.595036e-001  1.265553e+001  1.213828e-001
 1.599604e-001  1.265634e+001  1.213677e-001
 1.604172e-001  1.231542e+001  1.199661e-001
 1.608740e-001  1.206499e+001  1.200010e-001
 1.613308e-001  1.216206e+001  1.213108e-001
 1.617875e-001  1.213302e+001  1.211457e-001
 1.622443e-001  1.202723e+001  1.183954e-001
 1.627011e-001  1.183206e+001  1.214361e-001
 1.631579e-001  1.167834e+001  1.172820e-001
 1.636147e-001  1.155503e+001  1.191103e-001
 1.640714e-001  1.157461e+001  1.203123e-001
 1.645282e-001  1.145895e+001  1.174007e-001
 1.649850e-001  1.117779e+001  1.206533e-001
 1.654418e-001  1.108283e+001  1.176402e-001
 1.658985e-001  1.125285e+001  1.214994e-001
 1.663553e-001  1.093297e+001  1.182349e-001
 1.668121e-001  1.074597e+001  1.176651e-001
 1.672688e-001  1.061647e+001  1.169790e-001
 1.677256e-001  1.065285e+001  1.193852e-001
