Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 1.5 mg/ml  Code: tmp
Parent(s): /var/folders/my/9kqlz5zx61sd5jfjbtjhx37r0000gn/T/qt_temp.j38453 /var/folders/my/9kqlz5zx61sd5jfjbtjhx37r0000gn/T/qt_temp.K38453
  8.959530e-02   6.703800e+00   8.113754e-02
  9.008750e-02   6.639800e+00   8.079169e-02
  9.057970e-02   6.551000e+00   8.273486e-02
  9.107190e-02   6.626000e+00   8.073108e-02
  9.156410e-02   6.483700e+00   7.938236e-02
  9.205630e-02   6.350300e+00   8.014638e-02
  9.254850e-02   6.269600e+00   7.955400e-02
  9.304070e-02   6.352800e+00   8.028207e-02
  9.353280e-02   6.219000e+00   7.906285e-02
  9.402500e-02   6.036000e+00   7.841182e-02
  9.451720e-02   5.818300e+00   8.033711e-02
  9.500940e-02   5.988300e+00   7.738607e-02
  9.550160e-02   5.776100e+00   7.838915e-02
  9.599380e-02   5.931000e+00   7.719995e-02
  9.648600e-02   5.752600e+00   7.790354e-02
  9.697810e-02   5.734600e+00   7.882930e-02
  9.747030e-02   5.569900e+00   7.772229e-02
  9.796250e-02   5.636400e+00   7.794767e-02
  9.845470e-02   5.509300e+00   7.643000e-02
  9.894690e-02   5.341300e+00   7.779057e-02
  9.943900e-02   5.234800e+00   7.848655e-02
  9.993120e-02   5.400300e+00   7.571655e-02
  1.004230e-01   5.170200e+00   7.764010e-02
  1.009160e-01   5.050700e+00   7.593594e-02
  1.014080e-01   5.136500e+00   7.758718e-02
  1.019000e-01   4.965100e+00   7.621144e-02
  1.023920e-01   5.000900e+00   7.587420e-02
  1.028840e-01   4.880900e+00   7.608959e-02
  1.033760e-01   4.889700e+00   7.615641e-02
  1.038690e-01   4.912200e+00   7.479905e-02
  1.043610e-01   4.871200e+00   7.511781e-02
  1.048530e-01   4.668400e+00   7.457474e-02
  1.053450e-01   4.691200e+00   7.481288e-02
  1.058370e-01   4.665100e+00   7.567143e-02
  1.063290e-01   4.586900e+00   7.294238e-02
  1.068210e-01   4.560100e+00   7.384790e-02
  1.073140e-01   4.605200e+00   7.477987e-02
  1.078060e-01   4.400000e+00   7.418047e-02
  1.082980e-01   4.619100e+00   7.416149e-02
  1.087900e-01   4.294200e+00   7.357425e-02
  1.092820e-01   4.315000e+00   7.297315e-02
  1.097740e-01   4.552500e+00   7.370493e-02
  1.102660e-01   4.280400e+00   7.295434e-02
  1.107590e-01   4.367600e+00   7.379022e-02
  1.112510e-01   4.121900e+00   7.250239e-02
  1.117430e-01   4.170900e+00   7.340460e-02
  1.122350e-01   4.170100e+00   7.205008e-02
  1.127270e-01   4.125800e+00   7.145212e-02
  1.132190e-01   4.086600e+00   7.383229e-02
  1.137110e-01   3.973800e+00   7.255537e-02
  1.142040e-01   3.910500e+00   7.251852e-02
  1.146960e-01   4.017000e+00   7.141375e-02
  1.151880e-01   3.898100e+00   7.140993e-02
  1.156800e-01   3.813700e+00   7.249443e-02
  1.161720e-01   3.770700e+00   7.221020e-02
  1.166640e-01   3.801200e+00   7.085911e-02
  1.171560e-01   3.736800e+00   7.137522e-02
  1.176480e-01   3.670400e+00   6.964554e-02
  1.181410e-01   3.736700e+00   7.177272e-02
  1.186330e-01   3.788500e+00   6.933775e-02
  1.191250e-01   3.655800e+00   6.935191e-02
  1.196170e-01   3.588300e+00   7.110244e-02
  1.201090e-01   3.402400e+00   7.003080e-02
  1.206010e-01   3.410100e+00   7.096306e-02
  1.210930e-01   3.668600e+00   6.905109e-02
  1.215850e-01   3.455100e+00   7.061042e-02
  1.220770e-01   3.408600e+00   7.082395e-02
  1.225690e-01   3.351200e+00   7.001635e-02
  1.230620e-01   3.567900e+00   6.977718e-02
  1.235540e-01   3.337800e+00   6.975843e-02
  1.240460e-01   3.417100e+00   6.965173e-02
  1.245380e-01   3.436000e+00   6.964557e-02
  1.250300e-01   3.269600e+00   6.789621e-02
  1.255220e-01   3.403900e+00   6.731948e-02
  1.260140e-01   3.445900e+00   6.786640e-02
