Sample description: HtrASnrefolded
Sample: HtrASnrefolded  c= 1.16 mg/ml  Code: 
  5.698420e-01   3.809925e-03   2.483323e-04
  5.725920e-01   3.482036e-03   2.447058e-04
  5.753420e-01   3.665946e-03   2.452625e-04
  5.780910e-01   3.370272e-03   2.425002e-04
  5.808410e-01   3.228780e-03   2.413795e-04
  5.835910e-01   3.094900e-03   2.420292e-04
  5.863410e-01   3.344997e-03   2.412052e-04
  5.890910e-01   3.183940e-03   2.390045e-04
  5.918400e-01   2.845698e-03   2.387754e-04
  5.945900e-01   2.947202e-03   2.359529e-04
  5.973400e-01   2.881360e-03   2.379951e-04
  6.000900e-01   2.993109e-03   2.379360e-04
  6.028390e-01   2.828756e-03   2.359620e-04
  6.055890e-01   2.691992e-03   2.349479e-04
  6.083390e-01   2.679823e-03   2.343500e-04
  6.110890e-01   2.729266e-03   2.335849e-04
  6.138380e-01   2.718741e-03   2.322112e-04
  6.165880e-01   2.609998e-03   2.320183e-04
  6.193380e-01   2.289896e-03   2.303220e-04
  6.220880e-01   2.343866e-03   2.304633e-04
  6.248370e-01   2.170323e-03   2.278999e-04
  6.275870e-01   2.112919e-03   2.264126e-04
  6.303370e-01   2.069828e-03   2.276636e-04
  6.330870e-01   1.997134e-03   2.252511e-04
  6.358360e-01   1.979784e-03   2.259794e-04
  6.385860e-01   1.988711e-03   2.247941e-04
  6.413360e-01   2.126089e-03   2.240915e-04
  6.440860e-01   1.720442e-03   2.230054e-04
  6.468350e-01   1.914855e-03   2.233844e-04
  6.495850e-01   1.779357e-03   2.218013e-04
  6.523350e-01   1.608985e-03   2.224781e-04
  6.550850e-01   1.640458e-03   5.842684e-05
  6.578350e-01   1.534176e-03   5.765697e-05
  6.605840e-01   1.516525e-03   5.732695e-05
  6.633340e-01   1.496505e-03   5.726008e-05
  6.660840e-01   1.426992e-03   5.655588e-05
  6.688340e-01   1.432509e-03   5.626151e-05
  6.715830e-01   1.387927e-03   5.601051e-05
  6.743330e-01   1.379518e-03   5.554756e-05
  6.770830e-01   1.317859e-03   5.551315e-05
  6.798330e-01   1.223588e-03   5.466758e-05
  6.825820e-01   1.230197e-03   5.448379e-05
  6.853320e-01   1.181367e-03   5.453257e-05
  6.880820e-01   1.250562e-03   5.445547e-05
  6.908320e-01   1.110395e-03   5.359511e-05
  6.935810e-01   1.126783e-03   5.324068e-05
  6.963310e-01   1.097620e-03   5.301879e-05
  6.990810e-01   1.021769e-03   5.242123e-05
  7.018310e-01   1.123240e-03   5.310545e-05
  7.045800e-01   1.001307e-03   5.232831e-05
  7.073300e-01   9.419214e-04   5.169436e-05
  7.100800e-01   9.381179e-04   5.149006e-05
  7.128300e-01   9.435772e-04   5.135294e-05
  7.155800e-01   8.834133e-04   5.114160e-05
  7.183290e-01   9.003633e-04   5.092647e-05
  7.210790e-01   8.391001e-04   5.079457e-05
  7.238290e-01   8.117257e-04   5.020431e-05
  7.265790e-01   7.769992e-04   5.011880e-05
  7.293280e-01   7.182679e-04   4.965941e-05
  7.320780e-01   7.986380e-04   5.012789e-05
  7.348280e-01   7.673943e-04   4.979390e-05
