Sample description: HEADER
Sample: HEADER  c= 0 mg/ml  Code: 
Parent(s): E:/Data/SAXS/SAXS_pin1/nmrbuffer001-003/avrg_002.dat E:/Data/SAXS/SAXS_pin1/nmrbuffer001-003/avrg_001.dat
 1.078743e-001  5.173901e+001  2.281223e-001
 1.083313e-001  5.120657e+001  2.310210e-001
 1.087882e-001  5.089252e+001  2.328362e-001
 1.092452e-001  5.061476e+001  2.262542e-001
 1.097022e-001  4.997916e+001  2.255356e-001
 1.101592e-001  4.999876e+001  2.238222e-001
 1.106162e-001  4.913397e+001  2.223596e-001
 1.110731e-001  4.859478e+001  2.233218e-001
 1.115301e-001  4.796685e+001  2.251870e-001
 1.119871e-001  4.788071e+001  2.262916e-001
 1.124441e-001  4.730796e+001  2.191151e-001
 1.129010e-001  4.736839e+001  2.236977e-001
 1.133580e-001  4.703012e+001  2.226410e-001
 1.138150e-001  4.647291e+001  2.209377e-001
 1.142719e-001  4.590557e+001  2.218688e-001
 1.147289e-001  4.531962e+001  2.194670e-001
 1.151859e-001  4.502495e+001  2.188553e-001
 1.156428e-001  4.434885e+001  2.212783e-001
 1.160998e-001  4.432746e+001  2.169981e-001
 1.165568e-001  4.376793e+001  2.163905e-001
 1.170137e-001  4.321501e+001  2.186748e-001
 1.174707e-001  4.274047e+001  2.173787e-001
 1.179276e-001  4.280288e+001  2.145394e-001
 1.183846e-001  4.189927e+001  2.162607e-001
 1.188415e-001  4.177994e+001  2.154361e-001
 1.192985e-001  4.150311e+001  2.167658e-001
 1.197554e-001  4.125363e+001  2.119610e-001
 1.202124e-001  4.071185e+001  2.162832e-001
 1.206693e-001  4.054684e+001  2.216159e-001
 1.211263e-001  3.979916e+001  2.185491e-001
 1.215832e-001  3.976639e+001  2.228368e-001
 1.220402e-001  3.986745e+001  2.215577e-001
 1.224971e-001  3.919604e+001  2.189506e-001
 1.229540e-001  3.870210e+001  2.183266e-001
 1.234110e-001  3.800938e+001  2.215818e-001
 1.238679e-001  3.814358e+001  2.200421e-001
 1.243248e-001  3.761777e+001  2.227192e-001
 1.247818e-001  3.725179e+001  2.267127e-001
 1.252387e-001  3.727463e+001  2.258750e-001
 1.256956e-001  3.634648e+001  2.236505e-001
 1.261526e-001  3.656540e+001  2.250267e-001
 1.266095e-001  3.562749e+001  2.265641e-001
 1.270664e-001  3.565503e+001  2.267013e-001
 1.275233e-001  3.574149e+001  2.269309e-001
 1.279803e-001  3.504763e+001  2.256817e-001
 1.284372e-001  3.440167e+001  2.208359e-001
 1.288941e-001  3.462017e+001  2.204936e-001
 1.293510e-001  3.426085e+001  2.203811e-001
 1.298079e-001  3.387143e+001  2.155419e-001
 1.302648e-001  3.393997e+001  2.112632e-001
 1.307218e-001  3.298855e+001  2.112042e-001
 1.311787e-001  3.274873e+001  2.073549e-001
 1.316356e-001  3.236092e+001  2.092865e-001
 1.320925e-001  3.236304e+001  2.111542e-001
 1.325494e-001  3.195469e+001  2.055959e-001
 1.330063e-001  3.175632e+001  2.151239e-001
 1.334632e-001  3.115141e+001  2.038015e-001
 1.339201e-001  3.101721e+001  2.081069e-001
 1.343770e-001  3.107166e+001  2.142316e-001
 1.348339e-001  3.069553e+001  2.173428e-001
 1.352908e-001  3.021260e+001  2.059622e-001
 1.357477e-001  3.007817e+001  2.056058e-001
 1.362046e-001  2.953745e+001  2.061657e-001
 1.366615e-001  2.929732e+001  2.027698e-001
 1.371183e-001  2.873223e+001  2.026261e-001
 1.375752e-001  2.846957e+001  2.025240e-001
 1.380321e-001  2.866158e+001  2.022704e-001
 1.384890e-001  2.829969e+001  2.037729e-001
 1.389459e-001  2.838165e+001  2.010453e-001
 1.394028e-001  2.741957e+001  1.986046e-001
 1.398596e-001  2.777103e+001  2.027594e-001
 1.403165e-001  2.742347e+001  1.981098e-001
 1.407734e-001  2.715792e+001  2.025936e-001
 1.412303e-001  2.685564e+001  1.958932e-001
 1.416871e-001  2.658095e+001  1.984495e-001
 1.421440e-001  2.616584e+001  1.996071e-001
 1.426009e-001  2.637226e+001  1.977304e-001
 1.430577e-001  2.595571e+001  1.975888e-001
 1.435146e-001  2.530519e+001  1.941503e-001
 1.439714e-001  2.525918e+001  1.983179e-001
 1.444283e-001  2.537205e+001  1.982958e-001
 1.448852e-001  2.533185e+001  1.986802e-001
 1.453420e-001  2.453464e+001  1.962507e-001
 1.457989e-001  2.419590e+001  1.939078e-001
 1.462557e-001  2.404285e+001  1.982750e-001
 1.467126e-001  2.380356e+001  1.943251e-001
 1.471694e-001  2.371200e+001  1.949550e-001
 1.476263e-001  2.339879e+001  1.936212e-001
 1.480831e-001  2.323524e+001  1.953667e-001
 1.485400e-001  2.293443e+001  1.929747e-001
 1.489968e-001  2.284891e+001  1.918703e-001
 1.494536e-001  2.267602e+001  1.897605e-001
 1.499105e-001  2.246247e+001  1.930214e-001
 1.503673e-001  2.188294e+001  1.925743e-001
 1.508241e-001  2.200829e+001  1.899229e-001
 1.512810e-001  2.144780e+001  1.890668e-001
 1.517378e-001  2.114550e+001  1.876427e-001
 1.521946e-001  2.132486e+001  1.860505e-001
 1.526515e-001  2.084671e+001  1.899189e-001
 1.531083e-001  2.103169e+001  1.885990e-001
 1.535651e-001  2.091574e+001  1.892184e-001
 1.540219e-001  2.050324e+001  1.870787e-001
 1.544787e-001  2.029546e+001  1.852489e-001
 1.549356e-001  1.974251e+001  1.857507e-001
 1.553924e-001  2.013918e+001  1.864094e-001
 1.558492e-001  1.971689e+001  1.881874e-001
 1.563060e-001  1.945546e+001  1.888661e-001
 1.567628e-001  1.934943e+001  1.822015e-001
 1.572196e-001  1.933552e+001  1.897306e-001
 1.576764e-001  1.882084e+001  1.846023e-001
 1.581332e-001  1.886820e+001  1.824273e-001
 1.585900e-001  1.852285e+001  1.808894e-001
 1.590468e-001  1.804926e+001  1.821024e-001
 1.595036e-001  1.775624e+001  1.825547e-001
 1.599604e-001  1.804015e+001  1.816079e-001
 1.604172e-001  1.774800e+001  1.821832e-001
 1.608740e-001  1.746739e+001  1.817009e-001
 1.613308e-001  1.765717e+001  1.811497e-001
 1.617875e-001  1.739367e+001  1.827747e-001
 1.622443e-001  1.754446e+001  1.804236e-001
 1.627011e-001  1.715991e+001  1.814937e-001
 1.631579e-001  1.688483e+001  1.782360e-001
 1.636147e-001  1.681533e+001  1.820948e-001
 1.640714e-001  1.659839e+001  1.812891e-001
 1.645282e-001  1.623353e+001  1.771677e-001
 1.649850e-001  1.611871e+001  1.831565e-001
 1.654418e-001  1.615721e+001  1.778993e-001
 1.658985e-001  1.587530e+001  1.817416e-001
 1.663553e-001  1.580222e+001  1.716277e-001
 1.668121e-001  1.534308e+001  1.786619e-001
 1.672688e-001  1.518986e+001  1.770207e-001
 1.677256e-001  1.538168e+001  1.791353e-001
 1.681823e-001  1.507903e+001  1.766736e-001
 1.686391e-001  1.519816e+001  1.759123e-001
 1.690958e-001  1.469276e+001  1.761052e-001
 1.695526e-001  1.458407e+001  1.768867e-001
 1.700093e-001  1.439709e+001  1.748920e-001
 1.704661e-001  1.428296e+001  1.753921e-001
 1.709228e-001  1.366549e+001  1.727228e-001
 1.713796e-001  1.405233e+001  1.741931e-001
 1.718363e-001  1.359185e+001  1.774449e-001
 1.722930e-001  1.381105e+001  1.728347e-001
 1.727498e-001  1.359025e+001  1.701914e-001
 1.732065e-001  1.341946e+001  1.710817e-001
 1.736632e-001  1.316854e+001  1.720373e-001
 1.741200e-001  1.335034e+001  1.721700e-001
 1.745767e-001  1.292290e+001  1.703550e-001
 1.750334e-001  1.295492e+001  1.725261e-001
 1.754901e-001  1.276534e+001  1.713180e-001
 1.759468e-001  1.238574e+001  1.716372e-001
 1.764036e-001  1.248729e+001  1.719460e-001
 1.768603e-001  1.242554e+001  1.712888e-001
 1.773170e-001  1.210441e+001  1.707959e-001
 1.777737e-001  1.208858e+001  1.694785e-001
 1.782304e-001  1.209293e+001  1.694934e-001
 1.786871e-001  1.168985e+001  1.734938e-001
 1.791438e-001  1.160813e+001  1.767991e-001
 1.796005e-001  1.152718e+001  1.766193e-001
 1.800572e-001  1.152824e+001  1.740733e-001
 1.805139e-001  1.153703e+001  1.799004e-001
 1.809706e-001  1.105559e+001  1.751631e-001
 1.814273e-001  1.087151e+001  1.774117e-001
 1.818840e-001  1.061543e+001  1.739756e-001
 1.823407e-001  1.073174e+001  1.784320e-001
 1.827974e-001  1.105213e+001  1.783580e-001
 1.832540e-001  1.077752e+001  1.788606e-001
 1.837107e-001  1.043656e+001  1.821959e-001
 1.841674e-001  1.030885e+001  1.774350e-001
 1.846241e-001  1.046367e+001  1.794617e-001
 1.850808e-001  1.029103e+001  1.800996e-001
 1.855374e-001  1.000918e+001  1.777286e-001
 1.859941e-001  9.959300e+000  1.814810e-001
 1.864508e-001  9.891200e+000  1.746215e-001
 1.869074e-001  9.852300e+000  1.805802e-001
 1.873641e-001  9.370560e+000  1.809952e-001
 1.878207e-001  9.352520e+000  1.784784e-001
 1.882774e-001  9.446020e+000  1.824465e-001
 1.887341e-001  9.553380e+000  1.788539e-001
 1.891907e-001  9.219680e+000  1.826754e-001
 1.896474e-001  9.141970e+000  1.778423e-001
