sum_G03_16.tif
             q                I              Err   
      0.063134730     0.0084421062    0.00026542664
      0.063721972     0.0083095297    0.00025786322
      0.064309213     0.0077839011    0.00025594461
      0.064896452     0.0076648398    0.00025706419
      0.065483690     0.0074380939    0.00026024815
      0.066070926     0.0071287380    0.00026011580
      0.066658161     0.0069620175    0.00025474668
      0.067245393     0.0067800379    0.00026156740
      0.067832625     0.0062837122    0.00025661604
      0.068419854     0.0061051885    0.00024716536
      0.069007082     0.0058649992    0.00024782516
      0.069594308     0.0055695662    0.00024553876
      0.070181532     0.0054703199    0.00024042300
      0.070768754     0.0053337579    0.00024161505
      0.071355975     0.0051932213    0.00024577073
      0.071943194     0.0048974392    0.00023931126
      0.072530411     0.0048070968    0.00023578491
      0.073117626     0.0045987643    0.00023241983
      0.073704840     0.0042976049    0.00023932807
      0.074292051     0.0041877189    0.00023806616
      0.074879261     0.0040520334    0.00024292542
      0.075466469     0.0038604714    0.00022980828
      0.076053675     0.0037852145    0.00022885724
      0.076640879     0.0035519306    0.00022496659
      0.077228081     0.0034970980    0.00022430285
      0.077815282     0.0031489361    0.00022672844
      0.078402480     0.0031371072    0.00024682826
      0.078989676     0.0028164053    0.00022021640
      0.079576871     0.0026581895    0.00022080210
      0.080164063     0.0025098579    0.00022035122
      0.080751254     0.0023780929    0.00022340215
      0.081338442     0.0025413429    0.00022146274
      0.081925629     0.0022647785    0.00021597044
      0.082512813     0.0022575219    0.00022142445
      0.083099995     0.0020967723    0.00022009593
      0.083687175     0.0020328814    0.00022037904
      0.084274353     0.0018720920    0.00022483897
      0.084861529     0.0017255483    0.00022296534
      0.085448703     0.0016514826    0.00022787726
      0.086035875     0.0016733947    0.00022386342
      0.086623045     0.0014805669    0.00022841316
      0.087210212     0.0013557192    0.00022624657
      0.087797377     0.0014410032    0.00021845953
      0.088384540     0.0014484993    0.00022510121
      0.088971701     0.0012270475    0.00022312863
      0.089558860     0.0011295234    0.00022952024
      0.090146016     0.0010194745    0.00021973565
      0.090733171     0.0010308384    0.00022318069
      0.091320322     0.0011084192    0.00021858389
      0.091907472    0.00094042984    0.00021563314
      0.092494619    0.00085090950    0.00022323333
      0.093081764    0.00092283242    0.00022030246
      0.093668907    0.00063533250    0.00021440201
      0.094256047    0.00075896101    0.00021373797
      0.094843185    0.00068514240    0.00021131603
      0.095430321    0.00071682195    0.00022016000
      0.096017454    0.00059408691    0.00020816333
      0.096604585    0.00059355054    0.00021504877
      0.097191714    0.00041336932    0.00021138492
      0.097778840    0.00062058714    0.00021490004
      0.098365963    0.00033159875    0.00021192839
      0.098953084    0.00049506045    0.00021498205
      0.099540203    0.00034703612    0.00021684513
       0.10012732    0.00044847066    0.00021725857
       0.10071443    0.00038758959    0.00021947682
       0.10130154    0.00036363816    0.00022402496
       0.10188865    0.00024283423    0.00022127187
       0.10247576    0.00022762677    0.00022250851
       0.10306286    0.00029977989    0.00022232327
       0.10364996    0.00043374790    0.00023014598
       0.10423706    0.00016791301    0.00022709892
       0.10482416    0.00023436466    0.00022148079
       0.10541125    0.00018028370    0.00022142933
       0.10599834    0.00030215092    0.00021595482
       0.10658543    0.00011915668    0.00021634535
       0.10717251    0.00017687325    0.00021956494
       0.10775960    0.00015071625    0.00021653951
       0.10834668    6.6692709e-05    0.00021239137
       0.10893375    0.00018944606    0.00021267537
       0.10952083    0.00010638195    0.00020871895
       0.11010790    5.8240730e-05    0.00021395019
       0.11069497    0.00020711973    0.00020852563
       0.11128203    0.00012146024    0.00021541245
       0.11186910    0.00023413309    0.00021968983
       0.11245616    0.00019121066    0.00021577961
       0.11304322    0.00013546667    0.00020949727
       0.11363027    0.00024125739    0.00020917896
       0.11421732    0.00033045595    0.00021439230
       0.11480437    0.00016073364    0.00021318520
       0.11539142    0.00014260449    0.00021024380
       0.11597846    0.00026847934    0.00021210722
       0.11656550    0.00020116714    0.00021774541
       0.11715254    0.00015584670    0.00021180136
       0.11773958    0.00021265798    0.00022145057
       0.11832661    0.00020285897    0.00020742832
       0.11891364    0.00019228853    0.00020724846
       0.11950066    0.00023475849    0.00021682427
       0.12008769    0.00022293435    0.00021500270
       0.12067471    0.00016525468    0.00021738005
       0.12126172    0.00025090921    0.00021634267
