Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0 mg/ml  Code: tmp
Parent(s): /data/lachlan/Data/JL15_SAXS_Jul2015/sec2/msub/SENDING/gi_0220.dat
  1.970190e-01   3.455010e-04   3.831974e-04
  1.977990e-01   2.432557e-04   4.097476e-04
  1.985790e-01   1.143431e-05   3.915142e-04
  1.993580e-01   2.690327e-04   4.146100e-04
  2.001380e-01  -2.933034e-06   3.985254e-04
  2.009180e-01  -7.378936e-05   4.040868e-04
  2.016970e-01   1.646590e-04   3.984844e-04
  2.024770e-01   3.687353e-05   4.101454e-04
  2.032570e-01  -6.744085e-05   3.885755e-04
  2.040360e-01   5.667558e-05   4.086264e-04
  2.048160e-01   1.543864e-04   4.011501e-04
  2.055950e-01   3.705429e-04   4.149083e-04
  2.063750e-01   3.099808e-04   4.158463e-04
  2.071540e-01  -1.896375e-04   4.187830e-04
  2.079340e-01   4.104009e-05   4.198116e-04
  2.087140e-01  -1.821339e-05   4.316227e-04
  2.094930e-01  -3.149679e-05   4.283282e-04
  2.102730e-01   3.065878e-04   4.286032e-04
  2.110520e-01   1.432684e-04   4.352127e-04
  2.118320e-01  -1.758042e-04   4.211698e-04
  2.126110e-01   1.645936e-04   4.154621e-04
  2.133910e-01   2.782133e-04   4.086303e-04
  2.141700e-01   1.765520e-04   4.096502e-04
  2.149500e-01  -8.290454e-05   4.126151e-04
  2.157290e-01   2.562710e-04   4.153880e-04
  2.165090e-01   2.659303e-04   4.267126e-04
  2.172880e-01  -2.626319e-04   4.200953e-04
  2.180680e-01   8.609075e-07   4.059812e-04
  2.188470e-01  -2.855775e-05   3.969157e-04
  2.196260e-01  -1.520708e-04   4.189087e-04
  2.204060e-01   9.976200e-05   4.177349e-04
  2.211850e-01  -1.272248e-04   4.159662e-04
  2.219650e-01   3.197688e-04   4.530903e-04
  2.227440e-01  -3.083486e-05   4.217548e-04
  2.235240e-01  -1.038706e-04   4.291121e-04
  2.243030e-01  -2.014555e-04   4.410247e-04
  2.250820e-01   4.298551e-04   4.256460e-04
  2.258620e-01   3.526897e-04   4.400857e-04
  2.266410e-01   5.589090e-04   4.423429e-04
  2.274200e-01   9.683554e-05   4.436786e-04
  2.282000e-01  -1.462841e-04   4.386096e-04
  2.289790e-01   6.919087e-05   4.542827e-04
  2.297580e-01   4.957758e-05   4.368760e-04
  2.305380e-01   1.617135e-04   4.439302e-04
  2.313170e-01  -2.591804e-06   4.351318e-04
