Sample description: BSA
Sample: BSA  c= 8.3400 mg/ml  Code: bsa
Parent(s): data/frames/img_0001_02311.dat data/subtracted/img_0001_buffer.dat
  4.832220e-01   3.910880e+02   2.374022e+01
  4.852200e-01   3.676850e+02   2.379078e+01
  4.872190e-01   4.001620e+02   2.379576e+01
  4.892170e-01   4.002920e+02   2.374895e+01
  4.912150e-01   4.230760e+02   2.400848e+01
  4.932140e-01   4.128080e+02   2.373681e+01
  4.952120e-01   4.300740e+02   2.404579e+01
  4.972110e-01   3.975740e+02   2.350082e+01
  4.992090e-01   3.844800e+02   2.354940e+01
  5.012080e-01   4.286490e+02   2.376640e+01
  5.032060e-01   3.708980e+02   2.335410e+01
  5.052050e-01   4.224020e+02   2.376757e+01
  5.072030e-01   3.150350e+02   2.274699e+01
  5.092010e-01   3.940020e+02   2.353121e+01
  5.112000e-01   3.260540e+02   2.270901e+01
  5.131980e-01   3.529180e+02   2.298321e+01
  5.151970e-01   4.022520e+02   2.335672e+01
  5.171950e-01   3.948240e+02   2.302649e+01
  5.191940e-01   3.795210e+02   2.337763e+01
  5.211920e-01   3.299660e+02   2.272794e+01
  5.231900e-01   3.803600e+02   2.282701e+01
  5.251890e-01   3.606920e+02   2.294332e+01
  5.271870e-01   2.880310e+02   2.214294e+01
  5.291860e-01   3.570480e+02   2.301699e+01
  5.311840e-01   3.258170e+02   2.226172e+01
  5.331830e-01   3.243830e+02   2.242350e+01
  5.351810e-01   3.512530e+02   2.269023e+01
  5.371790e-01   3.513430e+02   2.248225e+01
  5.391780e-01   3.848050e+02   2.278284e+01
  5.411760e-01   3.267150e+02   2.211382e+01
  5.431750e-01   3.450850e+02   2.250124e+01
  5.451730e-01   3.638540e+02   2.255012e+01
  5.471720e-01   3.157460e+02   2.202440e+01
  5.491700e-01   3.372110e+02   2.238767e+01
  5.511680e-01   3.486020e+02   2.205341e+01
  5.531670e-01   3.255210e+02   2.223155e+01
  5.551650e-01   3.360370e+02   2.218582e+01
  5.571640e-01   3.179860e+02   2.188128e+01
  5.591620e-01   3.367100e+02   2.208846e+01
  5.611610e-01   2.878610e+02   2.164638e+01
  5.631590e-01   3.351610e+02   2.205769e+01
  5.651580e-01   3.276500e+02   2.181492e+01
  5.671560e-01   3.144090e+02   2.185557e+01
  5.691540e-01   3.504160e+02   2.194629e+01
  5.711530e-01   3.311830e+02   2.195847e+01
  5.731510e-01   3.353490e+02   2.175138e+01
  5.751500e-01   2.990950e+02   2.137677e+01
  5.771480e-01   3.128160e+02   2.172376e+01
  5.791470e-01   2.945950e+02   2.151352e+01
  5.811450e-01   3.210650e+02   2.157205e+01
  5.831430e-01   2.792520e+02   2.123282e+01
  5.851420e-01   2.913990e+02   2.138953e+01
  5.871400e-01   3.042520e+02   2.141448e+01
  5.891390e-01   2.646810e+02   2.103197e+01
  5.911370e-01   3.039040e+02   2.127751e+01
  5.931360e-01   2.596040e+02   2.099483e+01
  5.951340e-01   3.086170e+02   2.133527e+01
  5.971320e-01   2.999860e+02   2.126450e+01
  5.991310e-01   2.785220e+02   2.082172e+01
  6.011290e-01   2.604680e+02   2.103606e+01
  6.031280e-01   2.795980e+02   2.095954e+01
  6.051260e-01   2.540780e+02   2.091939e+01
  6.071250e-01   2.790030e+02   2.091813e+01
  6.091230e-01   3.065000e+02   2.091521e+01
  6.111210e-01   2.928630e+02   2.100005e+01
  6.131200e-01   2.931750e+02   2.085862e+01
  6.151180e-01   2.688650e+02   2.077100e+01
  6.171170e-01   2.741700e+02   2.060798e+01
  6.191150e-01   2.528210e+02   2.063543e+01
  6.211140e-01   2.556210e+02   2.077749e+01
  6.231120e-01   2.706480e+02   2.040716e+01
  6.251110e-01   2.418680e+02   2.091793e+01
  6.271090e-01   2.802860e+02   2.134341e+01
  6.291070e-01   2.104400e+02   2.109174e+01
